Day,InitialCondition,Radius,
4,10000,236.53
4.5,10000,253.88
5,10000,220.8
5.5,10000,255.13
6,10000,255.16
6.5,10000,245.01
7,10000,258.2
7.5,10000,270.45
8,10000,305.68
8.5,10000,303.05
9,10000,269.44
9.5,10000,315.34
10,10000,298.62
10.5,10000,296.1
11,10000,308.21
4,10000,229.59
4.5,10000,235.57
5,10000,255.85
5.5,10000,260.25
6,10000,265.43
6.5,10000,263.52
7,10000,250.97
7.5,10000,273.96
8,10000,287.46
8.5,10000,281.72
9,10000,291.74
9.5,10000,293.76
10,10000,289
10.5,10000,299.44
11,10000,294.16
4,10000,239.81
4.5,10000,226
5,10000,231.93
5.5,10000,239.5
6,10000,224.64
6.5,10000,270.69
7,10000,265.3
7.5,10000,260.19
8,10000,285.03
8.5,10000,261.15
9,10000,281.11
9.5,10000,284.71
10,10000,294.82
10.5,10000,299.62
11,10000,293.44
4,10000,231.22
4.5,10000,235.19
5,10000,247.79
5.5,10000,257.3
6,10000,262.55
6.5,10000,249.16
7,10000,262.98
7.5,10000,255.9
8,10000,261.8
8.5,10000,277.09
9,10000,296.4
9.5,10000,279.77
10,10000,295.31
10.5,10000,294.58
11,10000,311.97
4,10000,221.32
4.5,10000,237.03
5,10000,247.09
5.5,10000,257.36
6,10000,266.62
6.5,10000,258.04
7,10000,248.31
7.5,10000,260.31
8,10000,262.29
8.5,10000,299.13
9,10000,276.31
9.5,10000,293.96
10,10000,290.04
10.5,10000,305
11,10000,294.37
4,10000,218.39
4.5,10000,223.43
5,10000,246.49
5.5,10000,245.41
6,10000,250.34
6.5,10000,270.51
7,10000,264.98
7.5,10000,269.1
8,10000,287.06
8.5,10000,269.63
9,10000,288.58
9.5,10000,294.77
10,10000,289.56
10.5,10000,298.71
11,10000,290.62
4,10000,220.77
4.5,10000,237.71
5,10000,248.68
5.5,10000,271.25
6,10000,245.94
6.5,10000,258.99
7,10000,261.49
7.5,10000,249.17
8,10000,268.11
8.5,10000,260.37
9,10000,289.93
9.5,10000,278.66
10,10000,292.77
10.5,10000,291.6
11,10000,304.36
4,10000,225.89
4.5,10000,241.31
5,10000,248.84
5.5,10000,263.08
6,10000,250.36
6.5,10000,237.24
7,10000,254.41
7.5,10000,279.92
8,10000,262.19
8.5,10000,286.14
9,10000,283.23
9.5,10000,300.4
10,10000,273.5
10.5,10000,294.84
11,10000,290.23
4,10000,258.7
4.5,10000,244.45
5,10000,254.82
5.5,10000,237.18
6,10000,247.79
6.5,10000,254.69
7,10000,272.53
7.5,10000,264.65
8,10000,278.77
8.5,10000,257.96
9,10000,278.76
9.5,10000,279.26
10,10000,277.09
10.5,10000,301.44
11,10000,304.16
4,10000,231.82
4.5,10000,224.26
5,10000,252.47
5.5,10000,250.35
6,10000,249.38
6.5,10000,257.45
7,10000,259.81
7.5,10000,250.88
8,10000,269.54
8.5,10000,269.38
9,10000,272.91
9.5,10000,276.15
10,10000,286.85
10.5,10000,277.96
11,10000,310.54
